date,secid,currency,close,open,low,high,volume,capitalization
2020-12-25,MOEXIT,RUB,5000,5000,5000,5000,,
2020-12-28,MOEXIT,RUB,4960.24,4960.24,4960.24,4960.24,,
2020-12-29,MOEXIT,RUB,4975.35,4975.35,4975.35,4975.35,,
2020-12-30,MOEXIT,RUB,5086.88,5086.88,5086.88,5086.88,,
2021-01-04,MOEXIT,RUB,5136.11,5136.11,5136.11,5136.11,,
2021-01-05,MOEXIT,RUB,5182.83,5182.83,5182.83,5182.83,,
2021-01-06,MOEXIT,RUB,5149.72,5149.72,5149.72,5149.72,,
2021-01-08,MOEXIT,RUB,5176.62,5176.62,5176.62,5176.62,,
2021-01-11,MOEXIT,RUB,5150.37,5150.37,5150.37,5150.37,,
2021-01-12,MOEXIT,RUB,5070.59,5070.59,5070.59,5070.59,,
2021-01-13,MOEXIT,RUB,5071.41,5071.41,5071.41,5071.41,,
2021-01-14,MOEXIT,RUB,4992.35,4992.35,4992.35,4992.35,,
2021-01-15,MOEXIT,RUB,4971.36,4971.36,4971.36,4971.36,,
2021-01-18,MOEXIT,RUB,5022.74,5022.74,5022.74,5022.74,,
2021-01-19,MOEXIT,RUB,4970.92,4970.92,4970.92,4970.92,,
2021-01-20,MOEXIT,RUB,5049.14,5049.14,5049.14,5049.14,,
2021-01-21,MOEXIT,RUB,5057.3,5057.3,5057.3,5057.3,,
2021-01-22,MOEXIT,RUB,5010.95,5010.95,5010.95,5010.95,,
2021-01-25,MOEXIT,RUB,5001.7,5001.7,5001.7,5001.7,,
2021-01-26,MOEXIT,RUB,4948.61,4948.61,4948.61,4948.61,,
2021-01-27,MOEXIT,RUB,4869.65,4869.65,4869.65,4869.65,,
2021-01-28,MOEXIT,RUB,4879.02,4879.02,4879.02,4879.02,,
2021-01-29,MOEXIT,RUB,4832.47,4832.47,4832.47,4832.47,,
2021-02-01,MOEXIT,RUB,4827.03,4827.03,4827.03,4827.03,,
2021-02-02,MOEXIT,RUB,4971.51,4971.51,4971.51,4971.51,,
2021-02-03,MOEXIT,RUB,4982.5,4982.5,4982.5,4982.5,,
2021-02-04,MOEXIT,RUB,5027.43,5027.43,5027.43,5027.43,,
2021-02-05,MOEXIT,RUB,5041.25,5041.25,5041.25,5041.25,,
2021-02-08,MOEXIT,RUB,5160.8,5160.8,5160.8,5160.8,,
2021-02-09,MOEXIT,RUB,5213.15,5213.15,5213.15,5213.15,,
2021-02-10,MOEXIT,RUB,5340.67,5340.67,5340.67,5340.67,,
2021-02-11,MOEXIT,RUB,5398.99,5398.99,5398.99,5398.99,,
2021-02-12,MOEXIT,RUB,5429.45,5429.45,5429.45,5429.45,,
2021-02-15,MOEXIT,RUB,5429.95,5429.95,5429.95,5429.95,,
2021-02-16,MOEXIT,RUB,5405.13,5405.13,5405.13,5405.13,,
2021-02-17,MOEXIT,RUB,5248.29,5248.29,5248.29,5248.29,,
2021-02-18,MOEXIT,RUB,5086.05,5086.05,5086.05,5086.05,,
2021-02-19,MOEXIT,RUB,5144.85,5144.85,5144.85,5144.85,,
2021-02-20,MOEXIT,RUB,5137.95,5137.95,5137.95,5137.95,,
2021-02-22,MOEXIT,RUB,5050.89,5050.89,5050.89,5050.89,,
2021-02-24,MOEXIT,RUB,5010.36,5010.36,5010.36,5010.36,,
2021-02-25,MOEXIT,RUB,5036.26,5036.26,5036.26,5036.26,,
2021-02-26,MOEXIT,RUB,4920.39,4920.39,4920.39,4920.39,,
2021-03-01,MOEXIT,RUB,5045.8,5045.8,5045.8,5045.8,,
2021-03-02,MOEXIT,RUB,5107.09,5107.09,5107.09,5107.09,,
2021-03-03,MOEXIT,RUB,5119.73,5119.73,5119.73,5119.73,,
2021-03-04,MOEXIT,RUB,4923.22,4923.22,4923.22,4923.22,,
2021-03-05,MOEXIT,RUB,4713.99,4713.99,4713.99,4713.99,,
2021-03-09,MOEXIT,RUB,4691.24,4691.24,4691.24,4691.24,,
2021-03-10,MOEXIT,RUB,4734.8,4734.8,4734.8,4734.8,,
2021-03-11,MOEXIT,RUB,4869.67,4869.67,4869.67,4869.67,,
2021-03-12,MOEXIT,RUB,4871.16,4871.16,4871.16,4871.16,,
2021-03-15,MOEXIT,RUB,4997.13,4997.13,4997.13,4997.13,,
2021-03-16,MOEXIT,RUB,5133.35,5133.35,5133.35,5133.35,,
2021-03-17,MOEXIT,RUB,4976.05,4976.05,4976.05,4976.05,,
2021-03-18,MOEXIT,RUB,4929.8,4929.8,4929.8,4929.8,,
2021-03-19,MOEXIT,RUB,4946.15,4946.15,4946.15,4946.15,,
2021-03-22,MOEXIT,RUB,4917.74,4917.74,4917.74,4917.74,,
2021-03-23,MOEXIT,RUB,4929.83,4929.83,4929.83,4929.83,,
2021-03-24,MOEXIT,RUB,4890.85,4890.85,4890.85,4890.85,,
2021-03-25,MOEXIT,RUB,4690.02,4690.02,4690.02,4690.02,,
2021-03-26,MOEXIT,RUB,4747.71,4747.71,4747.71,4747.71,,
2021-03-29,MOEXIT,RUB,4803.58,4803.58,4803.58,4803.58,,
2021-03-30,MOEXIT,RUB,4810.66,4810.66,4810.66,4810.66,,
2021-03-31,MOEXIT,RUB,4916.21,4916.21,4916.21,4916.21,,
2021-04-01,MOEXIT,RUB,4936.38,4936.38,4936.38,4936.38,,
2021-04-02,MOEXIT,RUB,4961.66,4961.66,4961.66,4961.66,1793113741,2869913985342.6
2021-04-05,MOEXIT,RUB,4948.15,4948.15,4948.15,4948.15,2608722802,2864727392476
2021-04-06,MOEXIT,RUB,4987.61,4987.61,4987.61,4987.61,4499323796,2895542613830.8
2021-04-07,MOEXIT,RUB,4915.7,4915.7,4915.7,4915.7,4750947216,2873925193431.4
2021-04-08,MOEXIT,RUB,4937.01,4937.01,4937.01,4937.01,4165546889,2882715352371.4
2021-04-09,MOEXIT,RUB,4879.78,4879.78,4879.78,4879.78,3582699523,2864039273913.2
2021-04-12,MOEXIT,RUB,4913.28,4913.28,4913.28,4913.28,4708819563,2902132803723.8
